        4361           3
   1.5500000     -0.20000000      -2.0500000    
   1.5500000     -0.69999999      -1.5500000    
   1.5500000     -0.20000000      -1.0500000    
   1.5500000     -0.20000000      -3.0500000    
   1.5500000      -1.7000000      -1.5500000    
   1.5500000     -0.20000000     -5.00000007E-02
   1.1169873      5.00000007E-02  -1.5500000    
  0.25096190      0.55000001      -1.5500000    
   1.9830127      5.00000007E-02  -1.5500000    
   2.8490381      0.55000001      -1.5500000    
   0.0000000       0.0000000      -5.0000000    
   0.0000000      -5.0000000       0.0000000    
   0.0000000       0.0000000       5.0000000    
   0.0000000       0.0000000      -6.0000000    
   0.0000000      -6.0000000       0.0000000    
   0.0000000       0.0000000       6.0000000    
  -2.0000000      -1.8000000      0.89999998    
  -2.0000000      -1.9000000       1.0000000    
  -2.0000000      -1.8000000       1.1000000    
  -2.0000000      -1.8000000      0.10000000    
  -2.0000000      -2.7000000       1.0000000    
  -2.0000000      -1.8000000       1.9000000    
  -1.9133974      -1.7500000       1.0000000    
  -1.2205771      -1.3500000       1.0000000    
  -2.0866024      -1.7500000       1.0000000    
  -2.7794228      -1.3500000       1.0000000    
   4.3301272       2.5000000       0.0000000    
   5.1961522       3.0000000       0.0000000    
  -4.3301272       2.5000000       0.0000000    
  -5.1961522       3.0000000       0.0000000    
   1.5500000     -0.20000000      -2.5500000    
   1.5500000     -0.55355340      -1.9035534    
   1.5500000     -0.55355340      -1.1964467    
   1.5500000     -0.20000000     -0.55000001    
   1.5500000     -0.66352546     -0.12341522    
   1.5500000      -1.0816779     -0.33647451    
   1.5500000      -1.4135255     -0.66832215    
   1.5500000      -1.6265848      -1.0864745    
   1.5500000      -1.6265848      -2.0135255    
   1.5500000      -1.4135255      -2.4316778    
   1.5500000      -1.0816779      -2.7635255    
   1.5500000     -0.66352546      -2.9765847    
   1.2438138     -2.32233051E-02  -1.1964467    
   1.1485752      3.17627452E-02 -0.12341522    
  0.78644454      0.24083894     -0.33647451    
  0.49905610      0.40676275     -0.66832215    
  0.31454134      0.51329237      -1.0864745    
  0.31454134      0.51329237      -2.0135255    
  0.49905610      0.40676275      -2.4316778    
  0.78644454      0.24083894      -2.7635255    
   1.1485752      3.17627452E-02  -2.9765847    
   1.2438138     -2.32233051E-02  -1.9035534    
   1.2286062     -0.58302224      -1.5500000    
   1.0575961     -0.28682408      -1.5500000    
   1.1078672      -1.6333592      -1.5500000    
  0.70501989      -1.4393581      -1.5500000    
  0.37725279      -1.1352347      -1.5500000    
  0.15368937     -0.74801153      -1.5500000    
  5.41943051E-02 -0.31209514      -1.5500000    
  8.76081288E-02  0.13378140      -1.5500000    
   1.8561863     -2.32233051E-02  -1.1964467    
   1.9514248      3.17627452E-02 -0.12341522    
   2.3135555      0.24083894     -0.33647451    
   2.6009438      0.40676275     -0.66832215    
   2.7854586      0.51329237      -1.0864745    
   2.7854586      0.51329237      -2.0135255    
   2.6009438      0.40676275      -2.4316778    
   2.3135555      0.24083894      -2.7635255    
   1.9514248      3.17627452E-02  -2.9765847    
   1.8561863     -2.32233051E-02  -1.9035534    
   2.0424039     -0.28682408      -1.5500000    
   1.8713938     -0.58302224      -1.5500000    
   3.0123918      0.13378140      -1.5500000    
   3.0458057     -0.31209514      -1.5500000    
   2.9463105     -0.74801153      -1.5500000    
   2.7227473      -1.1352347      -1.5500000    
   2.3949802      -1.4393581      -1.5500000    
   1.9921328      -1.6333592      -1.5500000    
   0.0000000       0.0000000      -5.5000000    
   0.0000000     -0.41289672      -4.9829226    
   0.0000000     -0.82297295      -4.9318066    
   0.0000000      -1.2274275      -4.8470016    
   0.0000000      -1.6234974      -4.7290864    
