        9700           3
   1.5500000     -0.20000000      -2.0500000    
   1.5500000     -0.69999999      -1.5500000    
   1.5500000     -0.20000000      -1.0500000    
   1.5500000     -0.20000000      -3.0500000    
   1.5500000      -1.7000000      -1.5500000    
   1.5500000     -0.20000000     -5.00000007E-02
   1.1169873      5.00000007E-02  -1.5500000    
  0.25096190      0.55000001      -1.5500000    
   1.9830127      5.00000007E-02  -1.5500000    
   2.8490381      0.55000001      -1.5500000    
   0.0000000       0.0000000      -5.0000000    
   0.0000000      -5.0000000       0.0000000    
   0.0000000       0.0000000       5.0000000    
   0.0000000       0.0000000      -6.0000000    
   0.0000000      -6.0000000       0.0000000    
   0.0000000       0.0000000       6.0000000    
  -2.0000000      -1.8000000      0.89999998    
  -2.0000000      -1.9000000       1.0000000    
  -2.0000000      -1.8000000       1.1000000    
  -2.0000000      -1.8000000      0.10000000    
  -2.0000000      -2.7000000       1.0000000    
  -2.0000000      -1.8000000       1.9000000    
  -1.9133974      -1.7500000       1.0000000    
  -1.2205771      -1.3500000       1.0000000    
  -2.0866024      -1.7500000       1.0000000    
  -2.7794228      -1.3500000       1.0000000    
   4.3301272       2.5000000       0.0000000    
   5.1961522       3.0000000       0.0000000    
  -4.3301272       2.5000000       0.0000000    
  -5.1961522       3.0000000       0.0000000    
   1.5500000     -0.20000000      -2.7166667    
   1.5500000     -0.20000000      -2.3833334    
   1.5500000     -0.55355340      -1.9035534    
   1.5500000     -0.55355340      -1.1964467    
   1.5500000     -0.20000000     -0.71666664    
   1.5500000     -0.20000000     -0.38333333    
   1.5500000     -0.53378141     -8.76081288E-02
   1.5500000     -0.85082561     -0.19854669    
   1.5500000      -1.1352347     -0.37725279    
   1.5500000      -1.3727472     -0.61476529    
   1.5500000      -1.5514534     -0.89917439    
   1.5500000      -1.6623919      -1.2162186    
   1.5500000      -1.6623919      -1.8837814    
   1.5500000      -1.5514534      -2.2008257    
   1.5500000      -1.3727472      -2.4852347    
   1.5500000      -1.1352347      -2.7227473    
   1.5500000     -0.85082561      -2.9014533    
   1.5500000     -0.53378141      -3.0123918    
   1.2438138     -2.32233051E-02  -1.1964467    
   1.2609369     -3.31092998E-02 -8.76081288E-02
  0.98636848      0.12541281     -0.19854669    
  0.74006301      0.26761734     -0.37725279    
  0.53437114      0.38637361     -0.61476529    
  0.37960711      0.47572666     -0.89917439    
  0.28353149      0.53119594      -1.2162186    
  0.28353149      0.53119594      -1.8837814    
  0.37960711      0.47572666      -2.2008257    
  0.53437114      0.38637361      -2.4852347    
  0.74006301      0.26761734      -2.7227473    
  0.98636848      0.12541281      -2.9014533    
   1.2609369     -3.31092998E-02  -3.0123918    
   1.2438138     -2.32233051E-02  -1.9035534    
   1.2286062     -0.58302224      -1.5500000    
   1.0575961     -0.28682408      -1.5500000    
   1.2381325      -1.6672214      -1.5500000    
  0.93989503      -1.5703182      -1.5500000    
  0.66832215      -1.4135255      -1.5500000    
  0.43528277      -1.2036959      -1.5500000    
  0.25096190     -0.94999999      -1.5500000    
  0.12341522     -0.66352546      -1.5500000    
  5.82171567E-02 -0.35679269      -1.5500000    
  5.82171567E-02 -4.32073064E-02  -1.5500000    
  0.12341522      0.26352549      -1.5500000    
   1.8561863     -2.32233051E-02  -1.1964467    
   1.8390632     -3.31092998E-02 -8.76081288E-02
   2.1136315      0.12541281     -0.19854669    
   2.3599370      0.26761734     -0.37725279    
   2.5656290      0.38637361     -0.61476529    
   2.7203929      0.47572666     -0.89917439    
   2.8164685      0.53119594      -1.2162186    
   2.8164685      0.53119594      -1.8837814    
   2.7203929      0.47572666      -2.2008257    
