       24087           3
   1.5500000     -0.20000000      -2.0500000    
   1.5500000     -0.69999999      -1.5500000    
   1.5500000     -0.20000000      -1.0500000    
   1.5500000     -0.20000000      -3.0500000    
   1.5500000      -1.7000000      -1.5500000    
   1.5500000     -0.20000000     -5.00000007E-02
   1.1169873      5.00000007E-02  -1.5500000    
  0.25096190      0.55000001      -1.5500000    
   1.9830127      5.00000007E-02  -1.5500000    
   2.8490381      0.55000001      -1.5500000    
   0.0000000       0.0000000      -5.0000000    
   0.0000000      -5.0000000       0.0000000    
   0.0000000       0.0000000       5.0000000    
   0.0000000       0.0000000      -6.0000000    
   0.0000000      -6.0000000       0.0000000    
   0.0000000       0.0000000       6.0000000    
  -2.0000000      -1.8000000      0.89999998    
  -2.0000000      -1.9000000       1.0000000    
  -2.0000000      -1.8000000       1.1000000    
  -2.0000000      -1.8000000      0.10000000    
  -2.0000000      -2.7000000       1.0000000    
  -2.0000000      -1.8000000       1.9000000    
  -1.9133974      -1.7500000       1.0000000    
  -1.2205771      -1.3500000       1.0000000    
  -2.0866024      -1.7500000       1.0000000    
  -2.7794228      -1.3500000       1.0000000    
   4.3301272       2.5000000       0.0000000    
   5.1961522       3.0000000       0.0000000    
  -4.3301272       2.5000000       0.0000000    
  -5.1961522       3.0000000       0.0000000    
   1.5500000     -0.20000000      -2.8499999    
   1.5500000     -0.20000000      -2.6500001    
   1.5500000     -0.20000000      -2.4500000    
   1.5500000     -0.20000000      -2.2500000    
   1.5500000     -0.44999999      -1.9830127    
   1.5500000     -0.63301271      -1.8000000    
   1.5500000     -0.63301271      -1.3000000    
   1.5500000     -0.44999999      -1.1169873    
   1.5500000     -0.20000000     -0.85000002    
   1.5500000     -0.20000000     -0.64999998    
   1.5500000     -0.20000000     -0.44999999    
   1.5500000     -0.20000000     -0.25000000    
   1.5500000     -0.41347227     -6.52678385E-02
   1.5500000     -0.62259883     -0.11076054    
   1.5500000     -0.82312250     -0.18555200    
   1.5500000      -1.0109612     -0.28811970    
   1.5500000      -1.1822912     -0.41637564    
   1.5500000      -1.3336244     -0.56770891    
   1.5500000      -1.4618803     -0.73903877    
   1.5500000      -1.5644480     -0.92687750    
   1.5500000      -1.6392394      -1.1274011    
   1.5500000      -1.6847322      -1.3365277    
   1.5500000      -1.6847322      -1.7634722    
   1.5500000      -1.6392394      -1.9725988    
   1.5500000      -1.5644480      -2.1731224    
   1.5500000      -1.4618803      -2.3609612    
   1.5500000      -1.3336244      -2.5322912    
   1.5500000      -1.1822912      -2.6836243    
   1.5500000      -1.0109612      -2.8118804    
   1.5500000     -0.82312250      -2.9144480    
   1.5500000     -0.62259883      -2.9892395    
   1.5500000     -0.41347227      -3.0347321    
   1.1750000      1.65063515E-02  -1.3000000    
   1.3334936     -7.50000030E-02  -1.1169873    
   1.3651276     -9.32638720E-02 -6.52678385E-02
   1.1840187      1.12994174E-02 -0.11076054    
   1.0103601      0.11156126     -0.18555200    
  0.84768701      0.20548062     -0.28811970    
  0.69931096      0.29114556     -0.41637564    
  0.56825250      0.36681217     -0.56770891    
  0.45717961      0.43094015     -0.73903877    
  0.36835337      0.48222399     -0.92687750    
  0.30358207      0.51961970      -1.1274011    
  0.26418424      0.54236609      -1.3365277    
  0.26418424      0.54236609      -1.7634722    
  0.30358207      0.51961970      -1.9725988    
  0.36835337      0.48222399      -2.1731224    
  0.45717961      0.43094015      -2.3609612    
  0.56825250      0.36681217      -2.5322912    
  0.69931096      0.29114556      -2.6836243    
  0.84768701      0.20548062      -2.8118804    
   1.0103601      0.11156126      -2.9144480    
   1.1840187      1.12994174E-02  -2.9892395    
