        5856           3
   1.5500000     -0.20000000      -2.0500000    
   1.5500000     -0.69999999      -1.5500000    
   1.5500000     -0.20000000      -1.0500000    
   1.5500000     -0.20000000      -3.0500000    
   1.5500000      -1.7000000      -1.5500000    
   1.5500000     -0.20000000     -5.00000007E-02
   1.1169873      5.00000007E-02  -1.5500000    
  0.25096190      0.55000001      -1.5500000    
   1.9830127      5.00000007E-02  -1.5500000    
   2.8490381      0.55000001      -1.5500000    
   0.0000000       0.0000000      -5.0000000    
   0.0000000      -5.0000000       0.0000000    
   0.0000000       0.0000000       5.0000000    
   0.0000000       0.0000000      -6.0000000    
   0.0000000      -6.0000000       0.0000000    
   0.0000000       0.0000000       6.0000000    
  -2.0000000      -1.8000000      0.89999998    
  -2.0000000      -1.9000000       1.0000000    
  -2.0000000      -1.8000000       1.1000000    
  -2.0000000      -1.8000000      0.10000000    
  -2.0000000      -2.7000000       1.0000000    
  -2.0000000      -1.8000000       1.9000000    
  -1.9133974      -1.7500000       1.0000000    
  -1.2205771      -1.3500000       1.0000000    
  -2.0866024      -1.7500000       1.0000000    
  -2.7794228      -1.3500000       1.0000000    
   4.3301272       2.5000000       0.0000000    
   5.1961522       3.0000000       0.0000000    
  -4.3301272       2.5000000       0.0000000    
  -5.1961522       3.0000000       0.0000000    
   1.5500000     -0.20000000      -2.5500000    
   1.5500000     -0.55355340      -1.9035534    
   1.5500000     -0.55355340      -1.1964467    
   1.5500000     -0.20000000     -0.55000001    
   1.5500000     -0.58822858     -0.10111126    
   1.5500000     -0.94999999     -0.25096190    
   1.5500000      -1.2606602     -0.48933983    
   1.5500000      -1.4990381     -0.80000001    
   1.5500000      -1.6488887      -1.1617714    
   1.5500000      -1.6488887      -1.9382286    
   1.5500000      -1.4990381      -2.3000000    
   1.5500000      -1.2606602      -2.6106601    
   1.5500000     -0.94999999      -2.8490381    
   1.5500000     -0.58822858      -2.9988887    
   1.2438138     -2.32233051E-02  -1.1964467    
   1.2137842     -5.88571606E-03 -0.10111126    
  0.90048093      0.17500000     -0.25096190    
  0.63144135      0.33033007     -0.48933983    
  0.42500001      0.44951904     -0.80000001    
  0.29522553      0.52444434      -1.1617714    
  0.29522553      0.52444434      -1.9382286    
  0.42500001      0.44951904      -2.3000000    
  0.63144135      0.33033007      -2.6106601    
  0.90048093      0.17500000      -2.8490381    
   1.2137842     -5.88571606E-03  -2.9988887    
   1.2438138     -2.32233051E-02  -1.9035534    
   1.2286062     -0.58302224      -1.5500000    
   1.0575961     -0.28682408      -1.5500000    
   1.1617714      -1.6488887      -1.5500000    
  0.80000001      -1.4990381      -1.5500000    
  0.48933983      -1.2606602      -1.5500000    
  0.25096190     -0.94999999      -1.5500000    
  0.10111126     -0.58822858      -1.5500000    
  5.00000007E-02 -0.20000000      -1.5500000    
  0.10111126      0.18822856      -1.5500000    
   1.8561863     -2.32233051E-02  -1.1964467    
   1.8862158     -5.88571606E-03 -0.10111126    
   2.1995192      0.17500000     -0.25096190    
   2.4685585      0.33033007     -0.48933983    
   2.6750000      0.44951904     -0.80000001    
   2.8047745      0.52444434      -1.1617714    
   2.8047745      0.52444434      -1.9382286    
   2.6750000      0.44951904      -2.3000000    
   2.4685585      0.33033007      -2.6106601    
   2.1995192      0.17500000      -2.8490381    
   1.8862158     -5.88571606E-03  -2.9988887    
   1.8561863     -2.32233051E-02  -1.9035534    
   2.0424039     -0.28682408      -1.5500000    
   1.8713938     -0.58302224      -1.5500000    
   2.9988887      0.18822856      -1.5500000    
   3.0500000     -0.20000000      -1.5500000    
   2.9988887     -0.58822858      -1.5500000    
   2.8490381     -0.94999999      -1.5500000    
