       15247           3
   1.5500000     -0.20000000      -2.0500000    
   1.5500000     -0.69999999      -1.5500000    
   1.5500000     -0.20000000      -1.0500000    
   1.5500000     -0.20000000      -3.0500000    
   1.5500000      -1.7000000      -1.5500000    
   1.5500000     -0.20000000     -5.00000007E-02
   1.1169873      5.00000007E-02  -1.5500000    
  0.25096190      0.55000001      -1.5500000    
   1.9830127      5.00000007E-02  -1.5500000    
   2.8490381      0.55000001      -1.5500000    
   0.0000000       0.0000000      -5.0000000    
   0.0000000      -5.0000000       0.0000000    
   0.0000000       0.0000000       5.0000000    
   0.0000000       0.0000000      -6.0000000    
   0.0000000      -6.0000000       0.0000000    
   0.0000000       0.0000000       6.0000000    
  -2.0000000      -1.8000000      0.89999998    
  -2.0000000      -1.9000000       1.0000000    
  -2.0000000      -1.8000000       1.1000000    
  -2.0000000      -1.8000000      0.10000000    
  -2.0000000      -2.7000000       1.0000000    
  -2.0000000      -1.8000000       1.9000000    
  -1.9133974      -1.7500000       1.0000000    
  -1.2205771      -1.3500000       1.0000000    
  -2.0866024      -1.7500000       1.0000000    
  -2.7794228      -1.3500000       1.0000000    
   4.3301272       2.5000000       0.0000000    
   5.1961522       3.0000000       0.0000000    
  -4.3301272       2.5000000       0.0000000    
  -5.1961522       3.0000000       0.0000000    
   1.5500000     -0.20000000      -2.8000000    
   1.5500000     -0.20000000      -2.5500000    
   1.5500000     -0.20000000      -2.3000000    
   1.5500000     -0.44999999      -1.9830127    
   1.5500000     -0.63301271      -1.8000000    
   1.5500000     -0.63301271      -1.3000000    
   1.5500000     -0.44999999      -1.1169873    
   1.5500000     -0.20000000     -0.80000001    
   1.5500000     -0.20000000     -0.55000001    
   1.5500000     -0.20000000     -0.30000001    
   1.5500000     -0.46047226     -7.27883726E-02
   1.5500000     -0.71303022     -0.14046107    
   1.5500000     -0.94999999     -0.25096190    
   1.5500000      -1.1641815     -0.40093333    
   1.5500000      -1.3490666     -0.58581859    
   1.5500000      -1.4990381     -0.80000001    
   1.5500000      -1.6095389      -1.0369698    
   1.5500000      -1.6772116      -1.2895278    
   1.5500000      -1.6772116      -1.8104722    
   1.5500000      -1.6095389      -2.0630302    
   1.5500000      -1.4990381      -2.3000000    
   1.5500000      -1.3490666      -2.5141814    
   1.5500000      -1.1641815      -2.6990666    
   1.5500000     -0.94999999      -2.8490381    
   1.5500000     -0.71303022      -2.9595389    
   1.5500000     -0.46047226      -3.0272117    
   1.1750000      1.65063515E-02  -1.3000000    
   1.3334936     -7.50000030E-02  -1.1169873    
   1.3244244     -6.97638690E-02 -7.27883726E-02
   1.1057028      5.65151088E-02 -0.14046107    
  0.90048093      0.17500000     -0.25096190    
  0.71499443      0.28209069     -0.40093333    
  0.55487907      0.37453333     -0.58581859    
  0.42500001      0.44951904     -0.80000001    
  0.32930347      0.50476944      -1.0369698    
  0.27069721      0.53860581      -1.2895278    
  0.27069721      0.53860581      -1.8104722    
  0.32930347      0.50476944      -2.0630302    
  0.42500001      0.44951904      -2.3000000    
  0.55487907      0.37453333      -2.5141814    
  0.71499443      0.28209069      -2.6990666    
  0.90048093      0.17500000      -2.8490381    
   1.1057028      5.65151088E-02  -2.9595389    
   1.3244244     -6.97638690E-02  -3.0272117    
   1.3334936     -7.50000030E-02  -1.9830127    
   1.1750000      1.65063515E-02  -1.8000000    
   1.3000000     -0.63301271      -1.5500000    
   1.1169873     -0.44999999      -1.5500000    
   1.0500000     -0.20000000      -1.5500000    
   1.2895278      -1.6772116      -1.5500000    
   1.0369698      -1.6095389      -1.5500000    
  0.80000001      -1.4990381      -1.5500000    
  0.58581859      -1.3490666      -1.5500000    
