        1905           3
  0.34999999       0.0000000     -0.50000000    
  0.34999999     -0.50000000       0.0000000    
  0.34999999       0.0000000      0.50000000    
  0.34999999       0.0000000      -1.5000000    
  0.34999999      -1.5000000       0.0000000    
  0.34999999       0.0000000       1.5000000    
  0.78301269      0.25000000       0.0000000    
   1.6490381      0.75000000       0.0000000    
 -8.30127001E-02  0.25000000       0.0000000    
 -0.94903809      0.75000000       0.0000000    
   0.0000000       0.0000000      -3.0000000    
   0.0000000      -3.0000000       0.0000000    
   0.0000000       0.0000000       3.0000000    
   0.0000000       0.0000000      -4.0000000    
   0.0000000      -4.0000000       0.0000000    
   0.0000000       0.0000000       4.0000000    
   2.5980761       1.5000000       0.0000000    
   3.4641016       2.0000000       0.0000000    
  -2.5980761       1.5000000       0.0000000    
  -3.4641016       2.0000000       0.0000000    
  0.34999999       0.0000000      -1.0000000    
  0.34999999     -0.35355338     -0.35355338    
  0.34999999     -0.35355338      0.35355338    
  0.34999999       0.0000000       1.0000000    
  0.34999999     -0.46352550       1.4265847    
  0.34999999     -0.88167787       1.2135255    
  0.34999999      -1.2135255      0.88167787    
  0.34999999      -1.4265847      0.46352550    
  0.34999999      -1.4265847     -0.46352550    
  0.34999999      -1.2135255     -0.88167787    
  0.34999999     -0.88167787      -1.2135255    
  0.34999999     -0.46352550      -1.4265847    
  0.65618622      0.17677669      0.35355338    
  0.75142485      0.23176275       1.4265847    
   1.1135554      0.44083893       1.2135255    
   1.4009439      0.60676277      0.88167787    
   1.5854586      0.71329236      0.46352550    
   1.5854586      0.71329236     -0.46352550    
   1.4009439      0.60676277     -0.88167787    
   1.1135554      0.44083893      -1.2135255    
  0.75142485      0.23176275      -1.4265847    
  0.65618622      0.17677669     -0.35355338    
  0.67139381     -0.38302222       0.0000000    
  0.84240389     -8.68240893E-02   0.0000000    
  0.79213274      -1.4333593       0.0000000    
   1.1949801      -1.2393582       0.0000000    
   1.5227473     -0.93523473       0.0000000    
   1.7463106     -0.54801154       0.0000000    
   1.8458056     -0.11209514       0.0000000    
   1.8123919      0.33378139       0.0000000    
  4.38137837E-02  0.17677669      0.35355338    
 -5.14248498E-02  0.23176275       1.4265847    
 -0.41355544      0.44083893       1.2135255    
 -0.70094389      0.60676277      0.88167787    
 -0.88545865      0.71329236      0.46352550    
 -0.88545865      0.71329236     -0.46352550    
 -0.70094389      0.60676277     -0.88167787    
 -0.41355544      0.44083893      -1.2135255    
 -5.14248498E-02  0.23176275      -1.4265847    
  4.38137837E-02  0.17677669     -0.35355338    
 -0.14240387     -8.68240893E-02   0.0000000    
  2.86061950E-02 -0.38302222       0.0000000    
  -1.1123918      0.33378139       0.0000000    
  -1.1458057     -0.11209514       0.0000000    
  -1.0463107     -0.54801154       0.0000000    
 -0.82274723     -0.93523473       0.0000000    
 -0.49498010      -1.2393582       0.0000000    
 -9.21327621E-02  -1.4333593       0.0000000    
   0.0000000       0.0000000      -3.5000000    
   0.0000000     -0.42694452      -2.9694643    
   0.0000000     -0.84519768      -2.8784790    
   0.0000000      -1.2462450      -2.7288959    
   0.0000000      -1.6219225      -2.5237606    
   0.0000000      -1.9645822      -2.2672486    
   0.0000000      -2.2672486      -1.9645822    
   0.0000000      -2.5237606      -1.6219225    
   0.0000000      -2.7288959      -1.2462450    
   0.0000000      -2.8784790     -0.84519768    
   0.0000000      -2.9694643     -0.42694452    
   0.0000000      -2.9694643      0.42694452    
   0.0000000      -2.8784790      0.84519768    
   0.0000000      -2.7288959       1.2462450    
   0.0000000      -2.5237606       1.6219225    
   0.0000000      -2.2672486       1.9645822    
   0.0000000      -1.9645822       2.2672486    
   0.0000000      -1.6219225       2.5237606    
   0.0000000      -1.2462450       2.7288959    
   0.0000000     -0.84519768       2.8784790    
   0.0000000     -0.42694452       2.9694643    
   0.0000000       0.0000000       3.5000000    
   0.0000000     -0.41811386       3.9780877    
   0.0000000     -0.83164674       3.9125905    
   0.0000000      -1.2360680       3.8042262    
   0.0000000      -1.6269466       3.6541817    
   0.0000000      -2.0000000       3.4641016    
   0.0000000      -2.3511410       3.2360680    
   0.0000000      -2.6765225       2.9725792    
   0.0000000      -2.9725792       2.6765225    
   0.0000000      -3.2360680       2.3511410    
   0.0000000      -3.4641016       2.0000000    
   0.0000000      -3.6541817       1.6269466    
   0.0000000      -3.8042262       1.2360680    
   0.0000000      -3.9125905      0.83164674    
   0.0000000      -3.9780877      0.41811386    
   0.0000000      -3.9780877     -0.41811386    
   0.0000000      -3.9125905     -0.83164674    
   0.0000000      -3.8042262      -1.2360680    
   0.0000000      -3.6541817      -1.6269466    
   0.0000000      -3.4641016      -2.0000000    
   0.0000000      -3.2360680      -2.3511410    
   0.0000000      -2.9725792      -2.6765225    
   0.0000000      -2.6765225      -2.9725792    
   0.0000000      -2.3511410      -3.2360680    
   0.0000000      -2.0000000      -3.4641016    
   0.0000000      -1.6269466      -3.6541817    
   0.0000000      -1.2360680      -3.8042262    
   0.0000000     -0.83164674      -3.9125905    
   0.0000000     -0.41811386      -3.9780877    
   2.5716314       1.4847322      0.42694452    
   2.4928358       1.4392395      0.84519768    
   2.3632932       1.3644480       1.2462450    
   2.1856408       1.2618803       1.6219225    
   1.9634950       1.1336243       1.9645822    
   1.7013781      0.98229110       2.2672486    
   1.4046260      0.81096125       2.5237606    
   1.0792799      0.62312251       2.7288959    
  0.73196268      0.42259884       2.8784790    
  0.36974481      0.21347226       2.9694643    
  0.36209720      0.20905693       3.9780877    
  0.72022724      0.41582337       3.9125905    
   1.0704663      0.61803401       3.8042262    
   1.4089770      0.81347328       3.6541817    
   1.7320508       1.0000000       3.4641016    
   2.0361478       1.1755705       3.2360680    
   2.3179364       1.3382612       2.9725792    
   2.5743291       1.4862896       2.6765225    
   2.8025172       1.6180340       2.3511410    
   3.0000000       1.7320508       2.0000000    
   3.1646142       1.8270909       1.6269466    
   3.2945564       1.9021131       1.2360680    
   3.3884027       1.9562953      0.83164674    
   3.4451249       1.9890438      0.41811386    
   3.4451249       1.9890438     -0.41811386    
   3.3884027       1.9562953     -0.83164674    
   3.2945564       1.9021131      -1.2360680    
   3.1646142       1.8270909      -1.6269466    
   3.0000000       1.7320508      -2.0000000    
   2.8025172       1.6180340      -2.3511410    
   2.5743291       1.4862896      -2.6765225    
   2.3179364       1.3382612      -2.9725792    
   2.0361478       1.1755705      -3.2360680    
   1.7320508       1.0000000      -3.4641016    
   1.4089770      0.81347328      -3.6541817    
   1.0704663      0.61803401      -3.8042262    
  0.72022724      0.41582337      -3.9125905    
  0.36209720      0.20905693      -3.9780877    
  0.36974481      0.21347226      -2.9694643    
  0.73196268      0.42259884      -2.8784790    
   1.0792799      0.62312251      -2.7288959    
   1.4046260      0.81096125      -2.5237606    
   1.7013781      0.98229110      -2.2672486    
   1.9634950       1.1336243      -1.9645822    
   2.1856408       1.2618803      -1.6219225    
   2.3632932       1.3644480      -1.2462450    
   2.4928358       1.4392395     -0.84519768    
   2.5716314       1.4847322     -0.42694452    
  0.41751930      -2.9708042       0.0000000    
  0.82691205      -2.8837850       0.0000000    
   1.2202100      -2.7406363       0.0000000    
   1.5897578      -2.5441444       0.0000000    
   1.9283628      -2.2981334       0.0000000    
   2.2294345      -2.0073919       0.0000000    
   2.4871128      -1.6775787       0.0000000    
   2.6963820      -1.3151134       0.0000000    
   2.8531694     -0.92705101       0.0000000    
   2.9544232     -0.52094454       0.0000000    
   2.9981725     -0.10469849       0.0000000    
   2.9835656      0.31358540       0.0000000    
   2.9108872      0.72576571       0.0000000    
   2.7815516       1.1238198       0.0000000    
  0.41811386      -3.9780877       0.0000000    
  0.83164674      -3.9125905       0.0000000    
   1.2360680      -3.8042262       0.0000000    
   1.6269466      -3.6541817       0.0000000    
   2.0000000      -3.4641016       0.0000000    
   2.3511410      -3.2360680       0.0000000    
   2.6765225      -2.9725792       0.0000000    
   2.9725792      -2.6765225       0.0000000    
   3.2360680      -2.3511410       0.0000000    
   3.4641016      -2.0000000       0.0000000    
   3.6541817      -1.6269466       0.0000000    
   3.8042262      -1.2360680       0.0000000    
   3.9125905     -0.83164674       0.0000000    
   3.9780877     -0.41811386       0.0000000    
   4.0000000      1.99882107E-11   0.0000000    
   3.9780877      0.41811386       0.0000000    
   3.9125905      0.83164674       0.0000000    
   3.8042262       1.2360680       0.0000000    
   3.6541817       1.6269466       0.0000000    
  -2.5716314       1.4847322      0.42694452    
  -2.4928358       1.4392395      0.84519768    
  -2.3632932       1.3644480       1.2462450    
