        3560           3
  0.34999999       0.0000000     -0.50000000    
  0.34999999     -0.50000000       0.0000000    
  0.34999999       0.0000000      0.50000000    
  0.34999999       0.0000000      -1.5000000    
  0.34999999      -1.5000000       0.0000000    
  0.34999999       0.0000000       1.5000000    
  0.78301269      0.25000000       0.0000000    
   1.6490381      0.75000000       0.0000000    
 -8.30127001E-02  0.25000000       0.0000000    
 -0.94903809      0.75000000       0.0000000    
   0.0000000       0.0000000      -3.0000000    
   0.0000000      -3.0000000       0.0000000    
   0.0000000       0.0000000       3.0000000    
   0.0000000       0.0000000      -4.0000000    
   0.0000000      -4.0000000       0.0000000    
   0.0000000       0.0000000       4.0000000    
   2.5980761       1.5000000       0.0000000    
   3.4641016       2.0000000       0.0000000    
  -2.5980761       1.5000000       0.0000000    
  -3.4641016       2.0000000       0.0000000    
  0.34999999       0.0000000      -1.1666666    
  0.34999999       0.0000000     -0.83333331    
  0.34999999     -0.35355338     -0.35355338    
  0.34999999     -0.35355338      0.35355338    
  0.34999999       0.0000000      0.83333331    
  0.34999999       0.0000000       1.1666666    
  0.34999999     -0.33378139       1.4623919    
  0.34999999     -0.65082562       1.3514533    
  0.34999999     -0.93523473       1.1727473    
  0.34999999      -1.1727473      0.93523473    
  0.34999999      -1.3514533      0.65082562    
  0.34999999      -1.4623919      0.33378139    
  0.34999999      -1.4623919     -0.33378139    
  0.34999999      -1.3514533     -0.65082562    
  0.34999999      -1.1727473     -0.93523473    
  0.34999999     -0.93523473      -1.1727473    
  0.34999999     -0.65082562      -1.3514533    
  0.34999999     -0.33378139      -1.4623919    
  0.65618622      0.17677669      0.35355338    
  0.63906318      0.16689070       1.4623919    
  0.91363150      0.32541281       1.3514533    
   1.1599370      0.46761736       1.1727473    
   1.3656288      0.58637363      0.93523473    
   1.5203929      0.67572665      0.65082562    
   1.6164685      0.73119593      0.33378139    
   1.6164685      0.73119593     -0.33378139    
   1.5203929      0.67572665     -0.65082562    
   1.3656288      0.58637363     -0.93523473    
   1.1599370      0.46761736      -1.1727473    
  0.91363150      0.32541281      -1.3514533    
  0.63906318      0.16689070      -1.4623919    
  0.65618622      0.17677669     -0.35355338    
  0.67139381     -0.38302222       0.0000000    
  0.84240389     -8.68240893E-02   0.0000000    
  0.66186756      -1.4672214       0.0000000    
  0.96010494      -1.3703182       0.0000000    
   1.2316779      -1.2135255       0.0000000    
   1.4647173      -1.0036960       0.0000000    
   1.6490381     -0.75000000       0.0000000    
   1.7765847     -0.46352550       0.0000000    
   1.8417828     -0.15679270       0.0000000    
   1.8417828      0.15679270       0.0000000    
   1.7765847      0.46352550       0.0000000    
  4.38137837E-02  0.17677669      0.35355338    
  6.09368272E-02  0.16689070       1.4623919    
 -0.21363151      0.32541281       1.3514533    
 -0.45993701      0.46761736       1.1727473    
 -0.66562891      0.58637363      0.93523473    
 -0.82039291      0.67572665      0.65082562    
 -0.91646850      0.73119593      0.33378139    
 -0.91646850      0.73119593     -0.33378139    
 -0.82039291      0.67572665     -0.65082562    
 -0.66562891      0.58637363     -0.93523473    
 -0.45993701      0.46761736      -1.1727473    
 -0.21363151      0.32541281      -1.3514533    
  6.09368272E-02  0.16689070      -1.4623919    
  4.38137837E-02  0.17677669     -0.35355338    
 -0.14240387     -8.68240893E-02   0.0000000    
  2.86061950E-02 -0.38302222       0.0000000    
  -1.0765848      0.46352550       0.0000000    
  -1.1417829      0.15679270       0.0000000    
  -1.1417829     -0.15679270       0.0000000    
  -1.0765848     -0.46352550       0.0000000    
 -0.94903809     -0.75000000       0.0000000    
 -0.76471722      -1.0036960       0.0000000    
 -0.53167790      -1.2135255       0.0000000    
 -0.26010495      -1.3703182       0.0000000    
  3.81324627E-02  -1.4672214       0.0000000    
   0.0000000       0.0000000      -3.6666667    
   0.0000000       0.0000000      -3.3333333    
   0.0000000     -0.31358540      -2.9835656    
   0.0000000     -0.62373507      -2.9344428    
   0.0000000     -0.92705101      -2.8531694    
   0.0000000      -1.2202100      -2.7406363    
   0.0000000      -1.5000000      -2.5980761    
   0.0000000      -1.7633557      -2.4270511    
   0.0000000      -2.0073919      -2.2294345    
   0.0000000      -2.2294345      -2.0073919    
   0.0000000      -2.4270511      -1.7633557    
   0.0000000      -2.5980761      -1.5000000    
   0.0000000      -2.7406363      -1.2202100    
   0.0000000      -2.8531694     -0.92705101    
   0.0000000      -2.9344428     -0.62373507    
   0.0000000      -2.9835656     -0.31358540    
   0.0000000      -2.9835656      0.31358540    
   0.0000000      -2.9344428      0.62373507    
   0.0000000      -2.8531694      0.92705101    
   0.0000000      -2.7406363       1.2202100    
   0.0000000      -2.5980761       1.5000000    
   0.0000000      -2.4270511       1.7633557    
   0.0000000      -2.2294345       2.0073919    
   0.0000000      -2.0073919       2.2294345    
   0.0000000      -1.7633557       2.4270511    
   0.0000000      -1.5000000       2.5980761    
   0.0000000      -1.2202100       2.7406363    
   0.0000000     -0.92705101       2.8531694    
   0.0000000     -0.62373507       2.9344428    
   0.0000000     -0.31358540       2.9835656    
   0.0000000       0.0000000       3.3333333    
   0.0000000       0.0000000       3.6666667    
   0.0000000     -0.31383640       3.9876692    
   0.0000000     -0.62573785       3.9507535    
   0.0000000     -0.93378145       3.8894796    
   0.0000000      -1.2360680       3.8042262    
   0.0000000      -1.5307337       3.6955180    
   0.0000000      -1.8159620       3.5640261    
   0.0000000      -2.0899942       3.4105606    
   0.0000000      -2.3511410       3.2360680    
   0.0000000      -2.5977921       3.0416238    
   0.0000000      -2.8284271       2.8284271    
   0.0000000      -3.0416238       2.5977921    
   0.0000000      -3.2360680       2.3511410    
   0.0000000      -3.4105606       2.0899942    
   0.0000000      -3.5640261       1.8159620    
   0.0000000      -3.6955180       1.5307337    
   0.0000000      -3.8042262       1.2360680    
   0.0000000      -3.8894796      0.93378145    
   0.0000000      -3.9507535      0.62573785    
   0.0000000      -3.9876692      0.31383640    
   0.0000000      -3.9876692     -0.31383640    
   0.0000000      -3.9507535     -0.62573785    
   0.0000000      -3.8894796     -0.93378145    
   0.0000000      -3.8042262      -1.2360680    
   0.0000000      -3.6955180      -1.5307337    
   0.0000000      -3.5640261      -1.8159620    
   0.0000000      -3.4105606      -2.0899942    
   0.0000000      -3.2360680      -2.3511410    
   0.0000000      -3.0416238      -2.5977921    
   0.0000000      -2.8284271      -2.8284271    
   0.0000000      -2.5977921      -3.0416238    
   0.0000000      -2.3511410      -3.2360680    
   0.0000000      -2.0899942      -3.4105606    
   0.0000000      -1.8159620      -3.5640261    
   0.0000000      -1.5307337      -3.6955180    
   0.0000000      -1.2360680      -3.8042262    
   0.0000000     -0.93378145      -3.8894796    
   0.0000000     -0.62573785      -3.9507535    
   0.0000000     -0.31383640      -3.9876692    
   2.5838437       1.4917828      0.31358540    
   2.5413020       1.4672214      0.62373507    
   2.4709172       1.4265847      0.92705101    
   2.3734608       1.3703182       1.2202100    
   2.2500000       1.2990381       1.5000000    
   2.1018877       1.2135255       1.7633557    
   1.9307469       1.1147172       2.0073919    
   1.7384523       1.0036960       2.2294345    
   1.5271109      0.88167787       2.4270511    
   1.2990381      0.75000000       2.5980761    
   1.0567328      0.61010498       2.7406363    
  0.80284971      0.46352550       2.8531694    
  0.54017043      0.31186754       2.9344428    
  0.27157292      0.15679270       2.9835656    
  0.27179027      0.15691820       3.9876692    
  0.54190487      0.31286892       3.9507535    
  0.80867845      0.46689072       3.8894796    
   1.0704663      0.61803401       3.8042262    
   1.3256543      0.76536685       3.6955180    
   1.5726693      0.90798098       3.5640261    
   1.8099881       1.0449971       3.4105606    
   2.0361478       1.1755705       3.2360680    
   2.2497540       1.2988961       3.0416238    
   2.4494898       1.4142135       2.8284271    
   2.6341236       1.5208119       2.5977921    
   2.8025172       1.6180340       2.3511410    
   2.9536321       1.7052803       2.0899942    
   3.0865371       1.7820131       1.8159620    
   3.2004125       1.8477590       1.5307337    
   3.2945564       1.9021131       1.2360680    
   3.3683882       1.9447398      0.93378145    
   3.4214528       1.9753767      0.62573785    
   3.4534230       1.9938346      0.31383640    
   3.4534230       1.9938346     -0.31383640    
   3.4214528       1.9753767     -0.62573785    
   3.3683882       1.9447398     -0.93378145    
   3.2945564       1.9021131      -1.2360680    
   3.2004125       1.8477590      -1.5307337    
   3.0865371       1.7820131      -1.8159620    
   2.9536321       1.7052803      -2.0899942    
   2.8025172       1.6180340      -2.3511410    
   2.6341236       1.5208119      -2.5977921    
   2.4494898       1.4142135      -2.8284271    
   2.2497540       1.2988961      -3.0416238    
