       10717           3
  0.34999999       0.0000000     -0.50000000    
  0.34999999     -0.50000000       0.0000000    
  0.34999999       0.0000000      0.50000000    
  0.34999999       0.0000000      -1.5000000    
  0.34999999      -1.5000000       0.0000000    
  0.34999999       0.0000000       1.5000000    
  0.78301269      0.25000000       0.0000000    
   1.6490381      0.75000000       0.0000000    
 -8.30127001E-02  0.25000000       0.0000000    
 -0.94903809      0.75000000       0.0000000    
   0.0000000       0.0000000      -3.0000000    
   0.0000000      -3.0000000       0.0000000    
   0.0000000       0.0000000       3.0000000    
   0.0000000       0.0000000      -4.0000000    
   0.0000000      -4.0000000       0.0000000    
   0.0000000       0.0000000       4.0000000    
   2.5980761       1.5000000       0.0000000    
   3.4641016       2.0000000       0.0000000    
  -2.5980761       1.5000000       0.0000000    
  -3.4641016       2.0000000       0.0000000    
  0.34999999       0.0000000      -1.3000000    
  0.34999999       0.0000000      -1.1000000    
  0.34999999       0.0000000     -0.89999998    
  0.34999999       0.0000000     -0.69999999    
  0.34999999     -0.25000000     -0.43301269    
  0.34999999     -0.43301269     -0.25000000    
  0.34999999     -0.43301269      0.25000000    
  0.34999999     -0.25000000      0.43301269    
  0.34999999       0.0000000      0.69999999    
  0.34999999       0.0000000      0.89999998    
  0.34999999       0.0000000       1.1000000    
  0.34999999       0.0000000       1.3000000    
  0.34999999     -0.21347226       1.4847322    
  0.34999999     -0.42259884       1.4392395    
  0.34999999     -0.62312251       1.3644480    
  0.34999999     -0.81096125       1.2618803    
  0.34999999     -0.98229110       1.1336243    
  0.34999999      -1.1336243      0.98229110    
  0.34999999      -1.2618803      0.81096125    
  0.34999999      -1.3644480      0.62312251    
  0.34999999      -1.4392395      0.42259884    
  0.34999999      -1.4847322      0.21347226    
  0.34999999      -1.4847322     -0.21347226    
  0.34999999      -1.4392395     -0.42259884    
  0.34999999      -1.3644480     -0.62312251    
  0.34999999      -1.2618803     -0.81096125    
  0.34999999      -1.1336243     -0.98229110    
  0.34999999     -0.98229110      -1.1336243    
  0.34999999     -0.81096125      -1.2618803    
  0.34999999     -0.62312251      -1.3644480    
  0.34999999     -0.42259884      -1.4392395    
  0.34999999     -0.21347226      -1.4847322    
  0.72500002      0.21650635      0.25000000    
  0.56650633      0.12500000      0.43301269    
  0.53487241      0.10673613       1.4847322    
  0.71598130      0.21129942       1.4392395    
  0.88963991      0.31156126       1.3644480    
   1.0523130      0.40548062       1.2618803    
   1.2006891      0.49114555       1.1336243    
   1.3317475      0.56681216      0.98229110    
   1.4428204      0.63094014      0.81096125    
   1.5316466      0.68222398      0.62312251    
   1.5964179      0.71961975      0.42259884    
   1.6358157      0.74236608      0.21347226    
   1.6358157      0.74236608     -0.21347226    
   1.5964179      0.71961975     -0.42259884    
   1.5316466      0.68222398     -0.62312251    
   1.4428204      0.63094014     -0.81096125    
   1.3317475      0.56681216     -0.98229110    
   1.2006891      0.49114555      -1.1336243    
   1.0523130      0.40548062      -1.2618803    
  0.88963991      0.31156126      -1.3644480    
  0.71598130      0.21129942      -1.4392395    
  0.53487241      0.10673613      -1.4847322    
  0.56650633      0.12500000     -0.43301269    
  0.72500002      0.21650635     -0.25000000    
  0.55336833     -0.45677271       0.0000000    
  0.72157240     -0.33456531       0.0000000    
  0.82552826     -0.15450850       0.0000000    
  0.84726095      5.22642322E-02   0.0000000    
  0.55875963      -1.4854021       0.0000000    
  0.76345605      -1.4418925       0.0000000    
  0.96010494      -1.3703182       0.0000000    
   1.1448789      -1.2720722       0.0000000    
   1.3141814      -1.1490667       0.0000000    
   1.4647173      -1.0036960       0.0000000    
   1.5935564     -0.83878934       0.0000000    
   1.6981910     -0.65755671       0.0000000    
   1.7765847     -0.46352550       0.0000000    
   1.8272116     -0.26047227       0.0000000    
   1.8490863     -5.23492433E-02   0.0000000    
   1.8417828      0.15679270       0.0000000    
   1.8054436      0.36288285       0.0000000    
   1.7407758      0.56190991       0.0000000    
 -2.50000004E-02  0.21650635      0.25000000    
  0.13349365      0.12500000      0.43301269    
  0.16512761      0.10673613       1.4847322    
 -1.59813277E-02  0.21129942       1.4392395    
 -0.18963993      0.31156126       1.3644480    
 -0.35231301      0.40548062       1.2618803    
 -0.50068903      0.49114555       1.1336243    
 -0.63174748      0.56681216      0.98229110    
 -0.74282038      0.63094014      0.81096125    
 -0.83164662      0.68222398      0.62312251    
 -0.89641792      0.71961975      0.42259884    
 -0.93581575      0.74236608      0.21347226    
 -0.93581575      0.74236608     -0.21347226    
 -0.89641792      0.71961975     -0.42259884    
 -0.83164662      0.68222398     -0.62312251    
 -0.74282038      0.63094014     -0.81096125    
 -0.63174748      0.56681216     -0.98229110    
 -0.50068903      0.49114555      -1.1336243    
 -0.35231301      0.40548062      -1.2618803    
 -0.18963993      0.31156126      -1.3644480    
 -1.59813277E-02  0.21129942      -1.4392395    
  0.16512761      0.10673613      -1.4847322    
  0.13349365      0.12500000     -0.43301269    
 -2.50000004E-02  0.21650635     -0.25000000    
 -0.14726095      5.22642322E-02   0.0000000    
 -0.12552826     -0.15450850       0.0000000    
 -2.15724129E-02 -0.33456531       0.0000000    
  0.14663167     -0.45677271       0.0000000    
  -1.0407758      0.56190991       0.0000000    
  -1.1054436      0.36288285       0.0000000    
  -1.1417829      0.15679270       0.0000000    
  -1.1490862     -5.23492433E-02   0.0000000    
  -1.1272116     -0.26047227       0.0000000    
  -1.0765848     -0.46352550       0.0000000    
 -0.99819106     -0.65755671       0.0000000    
 -0.89355636     -0.83878934       0.0000000    
 -0.76471722      -1.0036960       0.0000000    
 -0.61418140      -1.1490667       0.0000000    
 -0.44487891      -1.2720722       0.0000000    
 -0.26010495      -1.3703182       0.0000000    
 -6.34560362E-02  -1.4418925       0.0000000    
  0.14124034      -1.4854021       0.0000000    
   0.0000000       0.0000000      -3.8000000    
   0.0000000       0.0000000      -3.5999999    
   0.0000000       0.0000000      -3.4000001    
   0.0000000       0.0000000      -3.2000000    
   0.0000000     -0.20472725      -2.9930062    
   0.0000000     -0.40849996      -2.9720578    
   0.0000000     -0.61036801      -2.9372523    
   0.0000000     -0.80939031      -2.8887517    
   0.0000000      -1.0046388      -2.8267827    
   0.0000000      -1.1952033      -2.7516339    
   0.0000000      -1.3801951      -2.6636558    
   0.0000000      -1.5587518      -2.5632582    
   0.0000000      -1.7300409      -2.4509096    
   0.0000000      -1.8932638      -2.3271339    
   0.0000000      -2.0476594      -2.1925080    
   0.0000000      -2.1925080      -2.0476594    
   0.0000000      -2.3271339      -1.8932638    
   0.0000000      -2.4509096      -1.7300409    
   0.0000000      -2.5632582      -1.5587518    
   0.0000000      -2.6636558      -1.3801951    
   0.0000000      -2.7516339      -1.1952033    
   0.0000000      -2.8267827      -1.0046388    
   0.0000000      -2.8887517     -0.80939031    
   0.0000000      -2.9372523     -0.61036801    
   0.0000000      -2.9720578     -0.40849996    
   0.0000000      -2.9930062     -0.20472725    
   0.0000000      -2.9930062      0.20472725    
   0.0000000      -2.9720578      0.40849996    
   0.0000000      -2.9372523      0.61036801    
   0.0000000      -2.8887517      0.80939031    
   0.0000000      -2.8267827       1.0046388    
   0.0000000      -2.7516339       1.1952033    
   0.0000000      -2.6636558       1.3801951    
   0.0000000      -2.5632582       1.5587518    
   0.0000000      -2.4509096       1.7300409    
   0.0000000      -2.3271339       1.8932638    
   0.0000000      -2.1925080       2.0476594    
   0.0000000      -2.0476594       2.1925080    
   0.0000000      -1.8932638       2.3271339    
   0.0000000      -1.7300409       2.4509096    
   0.0000000      -1.5587518       2.5632582    
   0.0000000      -1.3801951       2.6636558    
   0.0000000      -1.1952033       2.7516339    
   0.0000000      -1.0046388       2.8267827    
   0.0000000     -0.80939031       2.8887517    
   0.0000000     -0.61036801       2.9372523    
   0.0000000     -0.40849996       2.9720578    
   0.0000000     -0.20472725       2.9930062    
   0.0000000       0.0000000       3.2000000    
   0.0000000       0.0000000       3.4000001    
   0.0000000       0.0000000       3.5999999    
   0.0000000       0.0000000       3.8000000    
   0.0000000     -0.20259668       3.9948661    
   0.0000000     -0.40467328       3.9794774    
   0.0000000     -0.60571110       3.9538734    
   0.0000000     -0.80519408       3.9181197    
   0.0000000      -1.0026101       3.8723085    
   0.0000000      -1.1974525       3.8165569    
   0.0000000      -1.3892210       3.7510085    
   0.0000000      -1.5774235       3.6758313    
   0.0000000      -1.7615767       3.5912182    
   0.0000000      -1.9412079       3.4973865    
   0.0000000      -2.1158559       3.3945770    
   0.0000000      -2.2850728       3.2830539    
   0.0000000      -2.4484239       3.1631029    
