1211 3
1.0 0.0 0.0
1.0 0.0 0.1
1.0 0.0 0.2
1.0 0.0 0.30000000000000004
1.0 0.0 0.4
1.0 0.0 0.5
1.0 0.0 0.6
1.0 0.0 0.7
1.0 0.0 0.7999999999999999
1.0 0.0 0.8999999999999999
1.0 0.0 0.9999999999999999
1.0 0.1 0.0
1.0 0.1 0.1
1.0 0.1 0.2
1.0 0.1 0.30000000000000004
1.0 0.1 0.4
1.0 0.1 0.5
1.0 0.1 0.6
1.0 0.1 0.7
1.0 0.1 0.7999999999999999
1.0 0.1 0.8999999999999999
1.0 0.1 0.9999999999999999
1.0 0.2 0.0
1.0 0.2 0.1
1.0 0.2 0.2
1.0 0.2 0.30000000000000004
1.0 0.2 0.4
1.0 0.2 0.5
1.0 0.2 0.6
1.0 0.2 0.7
1.0 0.2 0.7999999999999999
1.0 0.2 0.8999999999999999
1.0 0.2 0.9999999999999999
1.0 0.30000000000000004 0.0
1.0 0.30000000000000004 0.1
1.0 0.30000000000000004 0.2
1.0 0.30000000000000004 0.30000000000000004
1.0 0.30000000000000004 0.4
1.0 0.30000000000000004 0.5
1.0 0.30000000000000004 0.6
1.0 0.30000000000000004 0.7
1.0 0.30000000000000004 0.7999999999999999
1.0 0.30000000000000004 0.8999999999999999
1.0 0.30000000000000004 0.9999999999999999
1.0 0.4 0.0
1.0 0.4 0.1
1.0 0.4 0.2
1.0 0.4 0.30000000000000004
1.0 0.4 0.4
1.0 0.4 0.5
1.0 0.4 0.6
1.0 0.4 0.7
1.0 0.4 0.7999999999999999
1.0 0.4 0.8999999999999999
1.0 0.4 0.9999999999999999
1.0 0.5 0.0
1.0 0.5 0.1
1.0 0.5 0.2
1.0 0.5 0.30000000000000004
1.0 0.5 0.4
1.0 0.5 0.5
1.0 0.5 0.6
1.0 0.5 0.7
1.0 0.5 0.7999999999999999
1.0 0.5 0.8999999999999999
1.0 0.5 0.9999999999999999
1.0 0.6 0.0
1.0 0.6 0.1
1.0 0.6 0.2
1.0 0.6 0.30000000000000004
1.0 0.6 0.4
1.0 0.6 0.5
1.0 0.6 0.6
1.0 0.6 0.7
1.0 0.6 0.7999999999999999
1.0 0.6 0.8999999999999999
1.0 0.6 0.9999999999999999
1.0 0.7 0.0
1.0 0.7 0.1
1.0 0.7 0.2
1.0 0.7 0.30000000000000004
1.0 0.7 0.4
1.0 0.7 0.5
1.0 0.7 0.6
1.0 0.7 0.7
1.0 0.7 0.7999999999999999
1.0 0.7 0.8999999999999999
1.0 0.7 0.9999999999999999
1.0 0.7999999999999999 0.0
1.0 0.7999999999999999 0.1
1.0 0.7999999999999999 0.2
1.0 0.7999999999999999 0.30000000000000004
1.0 0.7999999999999999 0.4
1.0 0.7999999999999999 0.5
1.0 0.7999999999999999 0.6
1.0 0.7999999999999999 0.7
1.0 0.7999999999999999 0.7999999999999999
1.0 0.7999999999999999 0.8999999999999999
1.0 0.7999999999999999 0.9999999999999999
1.0 0.8999999999999999 0.0
1.0 0.8999999999999999 0.1
1.0 0.8999999999999999 0.2
1.0 0.8999999999999999 0.30000000000000004
1.0 0.8999999999999999 0.4
1.0 0.8999999999999999 0.5
1.0 0.8999999999999999 0.6
1.0 0.8999999999999999 0.7
1.0 0.8999999999999999 0.7999999999999999
1.0 0.8999999999999999 0.8999999999999999
1.0 0.8999999999999999 0.9999999999999999
1.0 0.9999999999999999 0.0
1.0 0.9999999999999999 0.1
1.0 0.9999999999999999 0.2
